,Compound,Negative,Neutral,Positive,Source,Tweet,Tweet Time,Tweets Ago
99,0.4019,0.0,0.828,0.172,CNN,Researchers say this new font could help you remember what you read https://t.co/xicTQ6A6Bk https://t.co/QUVopgNGHv,2018-10-04 16:15:48+00:00,100
98,0.34,0.0,0.855,0.145,CNN,"Amazon giveth and Amazon taketh away.

The company is raising its minimum wage to $15 an hour for all US employees.… https://t.co/Ec4dhUt3D0",2018-10-04 16:25:36+00:00,99
97,0.0,0.0,1.0,0.0,CNN,"Progressive groups are set to take an anti-Kavanaugh, women's health message to doors across America… https://t.co/crz2uig5Pu",2018-10-04 16:35:06+00:00,98
96,0.3182,0.0,0.897,0.103,CNN,It's Amazon's world. We just live in it. @CNNBusiness takes a closer look at the company with the ability to shape… https://t.co/sLxMh9z1ec,2018-10-04 16:41:07+00:00,97
95,0.6486,0.0,0.73,0.27,CNN,"CNN Business went inside Amazon HQ to see how Amazon uses AI to improve customer experiences, from cashier-less sto… https://t.co/DCvrE2UBJP",2018-10-04 16:52:00+00:00,96
94,0.4939,0.0,0.873,0.127,CNN,"With the new Urus, Lamborghini crossbred an SUV with one of its supercars and pretty much nailed it in the first ge… https://t.co/wDAbxHKhK4",2018-10-04 17:02:00+00:00,95
93,0.0,0.0,1.0,0.0,CNN,Christine Blasey Ford is on the cover of this week's Time magazine. But it's not a photograph of Ford; it's an illu… https://t.co/wRAtXzbVcW,2018-10-04 17:10:08+00:00,94
92,0.0,0.0,1.0,0.0,CNN,Activists opposed to Kavanaugh's nomination are descending on Washington today https://t.co/uv0Pb00OrY https://t.co/1W6L5E6fSG,2018-10-04 17:20:11+00:00,93
91,0.3595,0.0,0.83,0.17,CNN,"""Jeopardy!"" host Alex Trebek issued an apology after he added his own jokes while moderating the Pennsylvania guber… https://t.co/RND1xQTLvi",2018-10-04 17:30:59+00:00,92
90,0.0,0.0,1.0,0.0,CNN,"West Virginia Democratic congressional candidate Richard Ojeda: ""I'm a real Democrat"" https://t.co/4Ens2x5YtW https://t.co/NygWUYIoTU",2018-10-04 17:40:03+00:00,91
